t_ms,rss_mb,stage
13.8,184.189,(other)
63.9,292.422,Register
116.4,504.906,Register
170.2,359.842,Register
223.3,477.544,Register
285.2,414.908,Register
673.8,592.544,Register
736.5,602.112,Register
794.0,615.858,Register
854.3,608.764,Register
908.9,613.663,Register
973.3,626.115,Register
1097.9,569.934,Register
1156.5,577.192,Register
1215.4,571.212,Register
1271.4,619.282,Register
1325.2,648.298,Register
1381.9,664.830,Register
1437.3,721.060,Register
1492.6,743.948,Register
1547.4,682.279,Register
1605.9,772.915,Register
1663.6,803.668,Register
1719.4,837.534,Register
1791.6,856.097,Register
1847.5,865.305,Register
1902.8,914.522,Register
1955.0,928.399,Register
2009.2,938.197,Register
2061.2,938.246,Register
2119.6,955.744,Register
2179.8,955.826,Register
2243.7,952.762,Register
2301.1,951.992,Register
2357.7,953.336,Register
2412.8,953.352,Register
2466.1,952.975,(other)
2516.5,1186.284,Fuse
2568.1,1286.226,Fuse
2637.2,1275.331,Fuse
2713.5,1222.705,Fuse
2793.3,1208.222,Fuse
2843.7,1262.797,Fuse
2898.8,1297.777,Fuse
2953.9,1307.886,Fuse
3005.9,1366.458,Fuse
3056.1,1492.206,Fuse
3111.2,1490.993,Fuse
3166.6,1472.905,Fuse
3221.0,1446.232,Fuse
3272.7,1520.648,Fuse
3322.8,1616.019,Fuse
3377.8,1654.686,Fuse
3433.1,1649.328,Fuse
3488.1,1648.001,Fuse
3543.2,1676.689,Fuse
3598.4,1659.093,Fuse
3656.5,1700.741,Fuse
3707.1,1706.344,Fuse
3762.3,1894.498,Fuse
3817.4,2162.606,Fuse
3870.8,2144.010,Fuse
3929.5,1980.776,Fuse
3979.9,2030.715,Fuse
4032.1,2165.670,Fuse
4087.2,2366.587,Fuse
4141.3,2530.820,Fuse
4196.4,2026.177,Fuse
4251.5,1617.412,Fuse
4306.6,1863.549,Fuse
4361.9,2015.773,Fuse
4414.7,2070.446,Fuse
4470.0,2093.302,Fuse
4542.7,605.848,Fuse
4597.7,1192.460,Fuse
4650.9,1243.791,Fuse
4706.0,1410.974,Fuse
4764.0,1561.592,Fuse
4819.1,1561.854,Fuse
4874.1,1608.335,Fuse
4929.2,1792.590,Fuse
4984.3,2176.418,Fuse
5039.4,1873.052,Fuse
5094.5,1732.919,Fuse
5149.6,1740.227,Fuse
5200.7,1762.886,Fuse
5255.8,1578.484,Fuse
5307.9,1315.078,Fuse
5360.7,1566.147,Fuse
5415.7,1566.179,Fuse
5471.0,1566.179,Fuse
5526.0,1752.039,Fuse
5581.1,1752.056,Fuse
5638.3,1752.252,Fuse
5689.5,1796.407,Fuse
5744.8,1937.326,Fuse
5799.8,1937.310,Fuse
5854.9,2110.292,Fuse
5915.1,2462.597,Fuse
5966.0,2648.162,Fuse
6021.1,2436.137,Fuse
6072.1,2216.755,Fuse
6126.9,2202.534,Fuse
6178.1,2319.155,Fuse
6233.2,2508.177,Fuse
6288.3,2255.159,Fuse
6343.3,1933.214,Fuse
6398.5,2259.321,Fuse
6451.9,2326.659,Fuse
6520.4,2343.174,Fuse
6576.1,2349.908,Fuse
6629.4,2357.182,Fuse
6685.4,2062.385,Fuse
6742.2,1371.406,Fuse
6793.2,1477.444,Fuse
6846.1,1564.787,Fuse
6901.2,1628.602,Fuse
6956.3,1779.483,Fuse
7011.4,1780.597,Fuse
7065.3,1853.293,Fuse
7126.7,2080.506,Fuse
7179.9,1862.124,Fuse
7235.0,1713.046,Fuse
7290.1,1871.282,Fuse
7344.9,1880.949,Fuse
7414.2,1685.570,Fuse
7475.2,957.628,Fuse
7530.3,1534.837,Fuse
7585.3,1739.702,Fuse
7640.4,1740.358,Fuse
7701.1,1786.921,Fuse
7775.1,1879.228,Fuse
7825.8,1881.473,Fuse
7880.9,1845.756,Fuse
7936.0,1802.387,Fuse
7991.0,1747.829,Fuse
8048.1,1724.285,Fuse
8100.3,1710.834,Fuse
8155.4,1703.559,Fuse
8208.5,1683.112,Fuse
8259.9,1648.804,Fuse
8314.9,1735.901,Fuse
8365.0,1837.040,Fuse
8418.8,1656.029,Fuse
8469.0,1580.990,Fuse
8520.5,1499.185,Fuse
8571.0,1474.331,Fuse
8625.5,1501.053,Fuse
8679.5,1467.908,Fuse
8729.6,1493.402,Fuse
8780.0,1553.449,Fuse
8830.1,1608.303,Fuse
8880.3,1745.371,Fuse
8936.7,1902.707,Fuse
8989.1,2049.311,Fuse
9039.5,2194.883,Fuse
9090.8,2346.254,Fuse
9145.8,1945.944,Fuse
9200.9,2100.494,Fuse
9256.0,1614.758,Fuse
9311.1,1972.388,Fuse
9363.9,2110.292,Fuse
9417.3,2164.818,Fuse
9472.8,2197.062,Fuse
9527.9,2214.756,Fuse
9583.0,855.736,Fuse
9639.5,1328.169,Fuse
9691.3,1358.971,Fuse
9746.4,1498.120,Fuse
9801.5,1648.804,Fuse
9856.6,1649.607,Fuse
9907.1,1668.399,Fuse
9957.9,1691.582,Fuse
10010.3,2041.692,Fuse
10061.4,2303.656,Fuse
10125.5,1618.215,Fuse
10180.6,1820.885,Fuse
10234.5,1849.049,Fuse
10289.6,1860.911,Fuse
10340.8,1670.382,Fuse
10391.6,1227.850,Fuse
10446.7,1511.211,Fuse
10501.8,1628.619,Fuse
10556.9,1628.668,Fuse
10607.9,1814.577,Fuse
10663.0,1814.594,Fuse
10716.6,1814.872,Fuse
10771.7,1814.872,Fuse
10825.6,1999.880,Fuse
10875.9,1999.880,Fuse
10931.0,2118.828,Fuse
10990.8,2310.210,Fuse
11041.3,2481.095,Fuse
11091.4,2364.146,Fuse
11145.0,2133.950,Fuse
11195.5,1999.978,Fuse
11248.8,2128.511,Fuse
11307.2,2323.759,Fuse
11362.3,2039.529,Fuse
11417.4,2270.986,Fuse
11471.6,2042.823,Fuse
11526.7,2222.129,Fuse
11588.4,2267.431,Fuse
11644.2,2293.596,Fuse
11699.7,2011.038,Fuse
11754.6,1028.653,Fuse
11809.7,1420.050,Fuse
11864.8,1551.319,Fuse
11917.7,1568.719,Fuse
11972.8,1736.950,Fuse
12027.9,1790.427,Fuse
12083.0,2095.137,Fuse
12138.1,1652.507,Fuse
12202.8,1867.940,Fuse
12260.6,1876.345,Fuse
12336.1,949.830,Fuse
12391.2,1771.946,Fuse
12446.4,1976.812,Fuse
12502.2,2011.546,Fuse
12561.4,2011.906,Fuse
12616.5,2104.541,Fuse
12669.1,2175.533,Fuse
12724.2,2126.610,Fuse
12779.3,2095.579,Fuse
12830.0,2095.235,Fuse
12881.9,2125.431,Fuse
12933.3,2104.787,Fuse
12983.5,2077.622,Fuse
13038.6,2060.321,Fuse
13093.6,2159.788,Fuse
13153.4,2141.880,Fuse
13208.5,2129.002,Fuse
13263.6,2147.238,Fuse
13316.3,2074.509,Fuse
13369.2,2087.764,Fuse
13430.6,2097.562,Fuse
13485.6,2212.299,Fuse
13538.3,2182.070,Fuse
13590.6,2032.255,Fuse
13641.1,1982.628,Fuse
13691.5,2047.410,Fuse
13747.5,2061.533,Fuse
13801.6,2234.466,Fuse
13856.9,2412.085,Fuse
13911.1,2556.084,Fuse
13966.2,2611.806,Fuse
14024.3,2504.311,Fuse
14079.3,2605.449,Fuse
14134.4,2622.030,Fuse
14189.5,2440.659,Fuse
14241.7,2498.249,Fuse
14293.6,1779.843,Fuse
14352.5,2005.320,Fuse
14407.6,2241.298,Fuse
14461.9,1675.297,Fuse
14517.0,1963.327,Fuse
14572.1,2235.695,Fuse
14639.3,2368.324,Fuse
14700.7,2421.735,Fuse
14755.8,2448.163,Fuse
14811.0,2471.641,Fuse
14866.1,2479.161,Fuse
14921.2,780.059,Fuse
14976.4,1192.591,Fuse
15031.5,1270.530,Fuse
15086.5,1380.680,Fuse
15141.3,1473.544,Fuse
15193.9,1473.610,Fuse
15249.0,1584.841,Fuse
15304.8,1615.839,Fuse
15359.9,1983.578,Fuse
15415.0,1729.364,Fuse
15470.1,1623.802,Fuse
15522.0,1630.454,Fuse
15580.8,1650.917,Fuse
15638.4,1654.014,Fuse
15693.5,1294.025,Fuse
15744.0,1434.075,Fuse
15796.2,1434.108,Fuse
15851.2,1619.984,Fuse
15906.3,1650.950,Fuse
15957.9,1651.163,Fuse
16012.3,1651.180,Fuse
16067.4,1836.319,Fuse
16122.5,1867.137,Fuse
16177.6,1932.788,Fuse
16239.0,2265.989,Fuse
16294.0,2600.141,Fuse
16345.2,2586.804,Fuse
16400.2,2482.962,Fuse
16455.3,2707.636,Fuse
16510.4,2354.577,Fuse
16565.4,1978.188,Fuse
16620.5,2335.408,Fuse
16675.9,2349.351,Fuse
16731.1,2368.700,Fuse
16788.1,2384.675,Fuse
16848.4,2092.777,Fuse
16903.5,1170.047,Fuse
