t_ms,rss_mb,stage
11.1,184.697,(other)
66.2,414.269,Register
117.0,564.920,Register
169.9,480.674,Register
223.4,554.090,Register
290.5,437.223,Register
642.5,711.754,Register
699.7,618.168,Register
763.6,557.367,Register
817.9,555.221,Register
876.5,649.282,Register
935.1,604.176,Register
989.6,673.923,Register
1045.4,663.175,Register
1114.4,568.558,Register
1169.9,593.412,Register
1221.9,595.853,Register
1278.3,677.872,Register
1346.0,645.005,Register
1402.0,805.208,Register
1456.4,839.336,Register
1510.2,850.969,Register
1569.3,854.344,Register
1625.2,836.452,Register
1675.5,837.222,Register
1735.1,842.482,Register
1799.5,869.368,Register
1855.3,868.958,Register
1927.3,869.401,Register
1982.2,864.879,Register
2035.2,886.342,Register
2090.1,896.074,Register
2145.4,903.660,Register
2200.5,903.692,Register
2255.4,895.287,Register
2307.9,896.483,(other)
2364.2,894.861,Fuse
2419.2,856.031,Fuse
2473.0,853.737,Fuse
2552.2,839.713,Fuse
2607.8,831.013,Fuse
2662.9,855.359,Fuse
2717.8,864.928,Fuse
2772.8,864.928,Fuse
2827.9,875.479,Fuse
2883.0,875.495,Fuse
2938.0,847.659,Fuse
2993.1,853.344,Fuse
3045.5,853.344,Fuse
3100.6,869.007,Fuse
3155.7,884.867,Fuse
3210.8,868.925,Fuse
3265.8,872.923,Fuse
3320.9,871.301,Fuse
3375.9,867.189,Fuse
3431.0,863.338,Fuse
3486.1,870.990,Fuse
3541.4,870.990,Fuse
3596.5,870.990,Fuse
3651.8,874.660,Fuse
3703.8,874.676,Fuse
3758.9,874.676,Fuse
3814.0,878.543,Fuse
3868.2,878.543,Fuse
3922.8,878.543,Fuse
3976.9,878.543,Fuse
4031.9,878.543,Fuse
4087.0,878.543,Fuse
4142.2,878.559,Fuse
4197.2,878.559,Fuse
4253.0,876.806,Fuse
4304.1,876.855,Fuse
4355.3,876.855,Fuse
4410.4,870.728,Fuse
4465.5,873.644,Fuse
4531.1,873.644,Fuse
4586.7,875.463,Fuse
4641.8,875.479,Fuse
4696.9,881.050,Fuse
4752.0,881.050,Fuse
4802.4,876.298,Fuse
4857.5,876.708,Fuse
4912.7,876.347,Fuse
4967.7,876.347,Fuse
5018.9,876.347,Fuse
5074.0,876.429,Fuse
5137.2,876.790,Fuse
