function,peak_mb,integrated_mb_s,pct_of_total
core:_fuse_tiles_chunked_plane,1664.776,44398.752,95.53
shape_base:stack,69.491,1145.979,2.47
tifffile:read_array,104.237,634.718,1.37
ome_tiff_tiles:read_ome_tiff_tiles_region,149.123,122.857,0.26
<string>:<module>,1.783,39.031,0.08
attribution:function_for,1.481,32.504,0.07
basic:c2cn,62.422,21.033,0.05
attribution:run,0.785,17.571,0.04
_phase_cross_correlation:phase_cross_correlation,38.155,12.892,0.03
attribution:_func_spans,0.225,9.219,0.02
registration:register_pair_worker,24.278,8.240,0.02
ast:parse,0.168,6.520,0.01
<frozen importlib:<module>,0.144,5.921,0.01
ElementTree:XML,0.195,3.019,0.01
_ni_support:_get_output,5.205,1.858,0.00
tifffile:_process_value,0.181,1.731,0.00
tifffile:series,0.040,1.273,0.00
_phase_cross_correlation:_upsampled_dft,2.982,1.048,0.00
tracemalloc:_sort_key,0.026,1.022,0.00
sampler:run,0.043,0.921,0.00
tifffile:_load,0.097,0.917,0.00
synchronize:<module>,0.021,0.883,0.00
tifffile:fromfile,0.138,0.881,0.00
tifffile:__init__,0.106,0.616,0.00
util:<module>,0.010,0.400,0.00
tracemalloc:take_snapshot,0.031,0.345,0.00
core:_register_parallel,0.007,0.308,0.00
tifffile:_seek,0.029,0.274,0.00
resource_tracker:<module>,0.006,0.249,0.00
tifffile:tell,0.025,0.236,0.00
fromnumeric:_wrapfunc,0.008,0.231,0.00
threading:__init__,0.062,0.201,0.00
tifffile:_series_ome,0.010,0.112,0.00
tifffile:add,0.011,0.108,0.00
tempfile:rng,0.003,0.107,0.00
_local:open,0.003,0.100,0.00
tracemalloc:__init__,0.012,0.095,0.00
_weakrefset:add,0.003,0.092,0.00
core:run,0.002,0.087,0.00
synchronize:__init__,0.002,0.077,0.00
<frozen abc>:<module>,0.002,0.070,0.00
threading:start,0.005,0.070,0.00
<frozen posixpath>:<module>,0.007,0.069,0.00
core:_create_multiscales,0.012,0.064,0.00
tifffile:squeeze_axes,0.003,0.059,0.00
tifffile:open,0.037,0.059,0.00
zarr:create_zarr_store,0.006,0.056,0.00
ome_tiff_tiles:read_ome_tiff_tiles_tile,0.005,0.049,0.00
_helper:fftfreq,0.018,0.048,0.00
encoder:iterencode,0.001,0.041,0.00
synchronize:__repr__,0.001,0.040,0.00
spawn:get_executable,0.001,0.038,0.00
resource_tracker:cleanup_noop,0.001,0.038,0.00
resource_tracker:__init__,0.001,0.038,0.00
util:__init__,0.001,0.036,0.00
helper:_workers,0.003,0.034,0.00
registration:compute_pair_bounds,0.012,0.033,0.00
tifffile:asarray,0.003,0.033,0.00
weakref:__setitem__,0.002,0.032,0.00
_phase_cross_correlation:_compute_error,0.001,0.032,0.00
std:__init__,0.003,0.028,0.00
registration:find_adjacent_pairs,0.008,0.026,0.00
functools:__get__,0.002,0.025,0.00
tifffile:read,0.001,0.025,0.00
threading:_bootstrap_inner,0.001,0.024,0.00
optimization:solve_global,0.001,0.023,0.00
tifffile:_set_dimensions,0.002,0.022,0.00
core:_fuse_tiles,0.001,0.021,0.00
utils:inner,0.000,0.020,0.00
synchronize:__getstate__,0.000,0.020,0.00
synchronize:__setstate__,0.000,0.020,0.00
synchronize:_make_methods,0.000,0.019,0.00
_stride_tricks_impl:as_strided,0.001,0.019,0.00
encoder:_iterencode_dict,0.001,0.018,0.00
threading:invoke_excepthook,0.004,0.018,0.00
context:RLock,0.000,0.016,0.00
