t_ms,rss_mb,stage
11.0,183.353,(other)
66.0,353.403,Register
121.7,475.267,Register
176.7,560.873,Register
231.8,496.828,Register
295.1,497.648,Register
617.6,722.649,Register
673.1,748.962,Register
725.3,639.353,Register
782.9,674.742,Register
837.9,703.594,Register
902.3,689.799,Register
956.4,693.961,Register
1013.8,700.203,Register
1068.7,704.676,Register
1119.3,721.256,Register
1184.6,748.175,Register
1240.5,776.618,Register
1297.2,704.479,Register
1350.7,830.996,Register
1401.5,839.336,Register
1456.6,846.053,Register
1510.8,850.543,Register
1565.6,856.310,Register
1620.6,850.805,Register
1672.5,850.838,Register
1732.8,853.934,Register
1789.0,856.457,Register
1855.0,866.468,Register
1911.1,860.242,Register
1963.9,856.261,Register
2019.0,872.432,Register
2072.8,872.448,Register
2127.8,924.877,Fuse
2182.9,1243.611,Fuse
2243.4,1256.096,Fuse
2293.4,1282.015,Fuse
2350.4,1315.701,Fuse
2405.4,1292.485,Fuse
2460.5,1336.721,Fuse
2515.6,1395.409,Fuse
2570.0,1390.133,Fuse
2625.1,1383.514,Fuse
2680.2,1441.432,Fuse
2735.2,1440.711,Fuse
2790.3,1445.380,Fuse
2854.8,1458.995,Fuse
2907.2,1530.790,Fuse
2958.6,1561.641,Fuse
3008.8,1649.852,Fuse
3062.5,1484.440,Fuse
3113.9,1512.964,Fuse
3168.9,1517.502,Fuse
3224.0,1543.356,Fuse
3279.1,1543.389,Fuse
3334.1,1543.422,Fuse
3384.4,1543.487,Fuse
3439.4,1566.212,Fuse
3494.5,1635.418,Fuse
3549.6,1660.895,Fuse
3604.7,1750.385,Fuse
3659.4,1774.305,Fuse
3716.7,1804.239,Fuse
3771.8,1597.080,Fuse
3826.9,1609.351,Fuse
3884.7,1609.646,Fuse
3939.8,1614.103,Fuse
3995.3,1614.152,Fuse
4050.3,1614.168,Fuse
4105.4,1612.366,Fuse
4160.5,1586.332,Fuse
4215.5,1643.332,Fuse
4276.9,1733.657,Fuse
4331.5,1844.724,Fuse
4388.7,1841.381,Fuse
4443.8,1648.345,Fuse
4498.0,1667.039,Fuse
4556.5,1667.170,Fuse
4611.5,1684.570,Fuse
4668.1,1694.188,Fuse
4723.2,1694.220,Fuse
4778.3,1694.237,Fuse
4831.8,1676.329,Fuse
4886.9,1689.764,Fuse
4942.0,1785.594,Fuse
4997.0,1838.367,Fuse
5053.0,1849.098,Fuse
5112.3,1891.353,Fuse
5166.4,1698.333,Fuse
5218.9,1719.943,Fuse
5274.0,1763.688,Fuse
5324.4,1766.195,Fuse
5379.5,1808.171,Fuse
5437.2,1812.922,Fuse
5492.2,1096.319,Fuse
5547.3,2017.001,Fuse
5602.4,2079.949,Fuse
5654.9,2054.078,Fuse
5709.0,2033.107,Fuse
5764.1,2010.284,Fuse
5819.1,2010.284,Fuse
5874.2,2010.284,Fuse
5927.5,1992.393,Fuse
5982.7,1972.404,Fuse
6041.2,1956.921,Fuse
6094.1,1930.101,Fuse
6149.2,1886.257,Fuse
6204.2,1844.609,Fuse
6259.3,1922.515,Fuse
6316.6,1922.580,Fuse
6371.7,2111.734,Fuse
6426.8,2263.745,Fuse
6482.2,2337.636,Fuse
6534.7,2379.071,Fuse
6592.6,2390.278,Fuse
6648.4,2096.988,Fuse
6703.5,2152.579,Fuse
6758.6,2152.579,Fuse
6813.7,2180.596,Fuse
6868.7,2207.400,Fuse
6926.8,2207.629,Fuse
6981.9,2200.044,Fuse
7032.0,2088.403,Fuse
7087.1,2237.678,Fuse
7139.9,2299.101,Fuse
7200.6,2333.164,Fuse
7255.7,2134.000,Fuse
7310.9,2161.000,Fuse
7366.2,2161.000,Fuse
7421.3,2160.312,Fuse
7477.5,2160.312,Fuse
7535.2,2160.329,Fuse
7590.3,2160.329,Fuse
7645.3,2160.329,Fuse
7700.4,2146.992,Fuse
7754.4,2226.307,Fuse
7815.1,2226.455,Fuse
7870.2,2323.137,Fuse
7925.2,2363.474,Fuse
7978.2,2362.409,Fuse
8029.6,2383.495,Fuse
8091.9,2407.514,Fuse
8146.3,2106.507,Fuse
8201.3,2134.196,Fuse
8256.4,2187.903,Fuse
8307.5,2187.903,Fuse
8362.5,2230.239,Fuse
8423.9,2098.528,Fuse
8479.1,2299.920,Fuse
8531.5,2326.921,Fuse
8586.6,2158.887,Fuse
8641.1,1278.263,Fuse
8697.1,2158.887,Fuse
8747.2,2158.903,Fuse
8802.2,2158.903,Fuse
8857.3,2158.903,Fuse
8912.4,2158.903,Fuse
8963.1,2156.888,Fuse
9018.2,2156.954,Fuse
9070.8,2148.663,Fuse
9126.1,2126.332,Fuse
9180.3,2104.312,Fuse
9236.2,2093.531,Fuse
9290.1,2072.363,Fuse
9345.1,2041.987,Fuse
9396.8,2087.174,Fuse
9451.9,2131.837,Fuse
9507.0,2216.182,Fuse
9568.0,2332.328,Fuse
9622.3,2357.068,Fuse
9677.4,2372.633,Fuse
9729.7,2395.341,Fuse
9784.8,2095.432,Fuse
9839.9,2129.019,Fuse
9890.4,2129.035,Fuse
9945.5,2155.741,Fuse
10000.6,2155.741,Fuse
10055.6,2182.545,Fuse
10111.1,2182.562,Fuse
10167.8,2182.808,Fuse
10222.9,2069.365,Fuse
10277.8,2228.896,Fuse
10332.9,2277.966,Fuse
10388.0,2289.222,Fuse
10445.8,2098.184,Fuse
10502.5,2098.397,Fuse
10554.0,2098.397,Fuse
10609.0,2098.397,Fuse
10664.1,2098.397,Fuse
10720.6,2098.512,Fuse
10775.7,2098.512,Fuse
10830.8,2098.479,Fuse
10883.4,2098.479,Fuse
10936.3,2141.995,Fuse
10991.4,2152.940,Fuse
11046.5,2199.077,Fuse
11096.9,2308.768,Fuse
11151.1,2346.320,Fuse
11206.6,2389.967,Fuse
11267.7,2108.342,Fuse
11324.3,2127.872,Fuse
11379.4,2154.381,Fuse
11434.5,2205.581,Fuse
11489.5,2205.581,Fuse
11544.6,2268.365,Fuse
11606.0,2123.137,Fuse
11661.1,2324.480,Fuse
11715.7,2333.180,Fuse
11770.8,2139.242,Fuse
11822.7,1284.735,Fuse
11884.0,2139.324,Fuse
11936.9,2139.324,Fuse
11992.0,2139.324,Fuse
12047.1,2139.324,Fuse
12102.1,2139.324,Fuse
12157.2,2135.654,Fuse
12212.3,2135.949,Fuse
12267.3,2135.949,Fuse
12317.9,2128.380,Fuse
12373.0,2106.360,Fuse
12428.1,2068.677,Fuse
12484.2,2044.133,Fuse
12539.2,2025.308,Fuse
12594.3,2122.383,Fuse
12647.4,2130.461,Fuse
12702.4,2223.587,Fuse
12759.7,2284.503,Fuse
12824.8,2320.204,Fuse
12878.6,2347.811,Fuse
12939.4,2081.161,Fuse
12989.8,2081.735,Fuse
13044.6,2124.841,Fuse
13096.8,2125.152,Fuse
13151.9,2151.875,Fuse
13206.2,2151.875,Fuse
13261.2,2178.679,Fuse
13316.3,2178.712,Fuse
13371.3,2094.383,Fuse
13426.4,2139.144,Fuse
13481.6,2294.055,Fuse
13534.1,2312.241,Fuse
13589.3,2324.218,Fuse
13644.4,2121.712,Fuse
13703.3,2121.826,Fuse
13758.3,2121.826,Fuse
13813.4,2121.843,Fuse
13868.4,2121.843,Fuse
13919.0,2121.843,Fuse
13974.1,2121.843,Fuse
14025.3,2121.941,Fuse
14080.3,2121.941,Fuse
14135.4,2210.136,Fuse
14190.5,2235.335,Fuse
14245.5,2294.546,Fuse
14302.2,2338.849,Fuse
14353.0,2349.695,Fuse
14407.1,2376.712,Fuse
14462.3,2118.369,Fuse
14514.1,2122.285,Fuse
14565.0,2148.663,Fuse
14622.5,2175.402,Fuse
14677.5,2202.255,Fuse
14732.6,2229.387,Fuse
14787.7,2115.944,Fuse
14842.7,2285.535,Fuse
14907.5,2334.376,Fuse
14967.7,2153.513,Fuse
15018.8,1157.022,Fuse
15073.9,2152.923,Fuse
15129.1,2153.513,Fuse
15183.8,2153.513,Fuse
15240.7,2153.513,Fuse
15295.7,2153.529,Fuse
15348.9,2153.071,Fuse
15403.9,2153.071,Fuse
15455.1,2153.071,Fuse
15509.0,2153.071,Fuse
15564.6,2153.153,Fuse
15619.7,2153.169,Fuse
15674.8,2126.299,Fuse
15728.2,2077.590,Fuse
15783.2,2129.281,Fuse
15839.1,2130.559,Fuse
