pair_id,i,j,tile_i,tile_j,row_i,col_i,row_j,col_j,patch_i_bytes,patch_j_bytes,patch_bytes_total,duration_ms
0,0,1,"manual0/fov0@(r0,c1)","manual0/fov1@(r0,c2)",0,1,0,2,1733888,1733888,3467776,48.750
1,0,5,"manual0/fov0@(r0,c1)","manual0/fov5@(r1,c1)",0,1,1,1,1733888,1733888,3467776,38.295
2,1,2,"manual0/fov1@(r0,c2)","manual0/fov2@(r0,c3)",0,2,0,3,1733888,1733888,3467776,39.264
3,1,6,"manual0/fov1@(r0,c2)","manual0/fov6@(r1,c2)",0,2,1,2,1733888,1733888,3467776,45.051
4,2,3,"manual0/fov2@(r0,c3)","manual0/fov3@(r0,c4)",0,3,0,4,1733888,1733888,3467776,39.042
5,2,7,"manual0/fov2@(r0,c3)","manual0/fov7@(r1,c3)",0,3,1,3,1733888,1733888,3467776,42.997
6,3,8,"manual0/fov3@(r0,c4)","manual0/fov8@(r1,c4)",0,4,1,4,1733888,1733888,3467776,38.330
7,4,5,"manual0/fov4@(r1,c0)","manual0/fov5@(r1,c1)",1,0,1,1,1733888,1733888,3467776,38.745
8,4,9,"manual0/fov4@(r1,c0)","manual0/fov9@(r2,c0)",1,0,2,0,1733888,1733888,3467776,39.786
9,5,6,"manual0/fov5@(r1,c1)","manual0/fov6@(r1,c2)",1,1,1,2,1733888,1733888,3467776,39.693
10,5,10,"manual0/fov5@(r1,c1)","manual0/fov10@(r2,c1)",1,1,2,1,1733888,1733888,3467776,41.159
11,6,7,"manual0/fov6@(r1,c2)","manual0/fov7@(r1,c3)",1,2,1,3,1733888,1733888,3467776,40.010
12,6,11,"manual0/fov6@(r1,c2)","manual0/fov11@(r2,c2)",1,2,2,2,1733888,1733888,3467776,41.399
13,7,8,"manual0/fov7@(r1,c3)","manual0/fov8@(r1,c4)",1,3,1,4,1733888,1733888,3467776,41.224
14,7,12,"manual0/fov7@(r1,c3)","manual0/fov12@(r2,c3)",1,3,2,3,1733888,1733888,3467776,46.470
15,8,13,"manual0/fov8@(r1,c4)","manual0/fov13@(r2,c4)",1,4,2,4,1733888,1733888,3467776,39.717
16,9,10,"manual0/fov9@(r2,c0)","manual0/fov10@(r2,c1)",2,0,2,1,1733888,1733888,3467776,39.246
17,9,14,"manual0/fov9@(r2,c0)","manual0/fov14@(r3,c0)",2,0,3,0,1733888,1733888,3467776,38.650
18,10,11,"manual0/fov10@(r2,c1)","manual0/fov11@(r2,c2)",2,1,2,2,1733888,1733888,3467776,41.310
19,10,15,"manual0/fov10@(r2,c1)","manual0/fov15@(r3,c1)",2,1,3,1,1733888,1733888,3467776,46.742
20,11,12,"manual0/fov11@(r2,c2)","manual0/fov12@(r2,c3)",2,2,2,3,1733888,1733888,3467776,41.604
21,11,16,"manual0/fov11@(r2,c2)","manual0/fov16@(r3,c2)",2,2,3,2,1733888,1733888,3467776,43.843
22,12,13,"manual0/fov12@(r2,c3)","manual0/fov13@(r2,c4)",2,3,2,4,1733888,1733888,3467776,42.453
23,12,17,"manual0/fov12@(r2,c3)","manual0/fov17@(r3,c3)",2,3,3,3,1733888,1733888,3467776,46.655
24,13,18,"manual0/fov13@(r2,c4)","manual0/fov18@(r3,c4)",2,4,3,4,1733888,1733888,3467776,46.684
25,14,15,"manual0/fov14@(r3,c0)","manual0/fov15@(r3,c1)",3,0,3,1,1733888,1733888,3467776,40.183
26,14,19,"manual0/fov14@(r3,c0)","manual0/fov19@(r4,c0)",3,0,4,0,1733888,1733888,3467776,39.872
27,15,16,"manual0/fov15@(r3,c1)","manual0/fov16@(r3,c2)",3,1,3,2,1733888,1733888,3467776,40.754
28,15,20,"manual0/fov15@(r3,c1)","manual0/fov20@(r4,c1)",3,1,4,1,1733888,1733888,3467776,41.253
29,16,17,"manual0/fov16@(r3,c2)","manual0/fov17@(r3,c3)",3,2,3,3,1733888,1733888,3467776,38.578
30,16,21,"manual0/fov16@(r3,c2)","manual0/fov21@(r4,c2)",3,2,4,2,1733888,1733888,3467776,41.040
31,17,18,"manual0/fov17@(r3,c3)","manual0/fov18@(r3,c4)",3,3,3,4,1733888,1733888,3467776,40.899
32,17,22,"manual0/fov17@(r3,c3)","manual0/fov22@(r4,c3)",3,3,4,3,1733888,1733888,3467776,43.660
33,18,23,"manual0/fov18@(r3,c4)","manual0/fov23@(r4,c4)",3,4,4,4,1733888,1733888,3467776,39.615
34,19,20,"manual0/fov19@(r4,c0)","manual0/fov20@(r4,c1)",4,0,4,1,1733888,1733888,3467776,39.742
35,20,21,"manual0/fov20@(r4,c1)","manual0/fov21@(r4,c2)",4,1,4,2,1733888,1733888,3467776,39.447
36,20,24,"manual0/fov20@(r4,c1)","manual0/fov24@(r5,c1)",4,1,5,1,1733888,1733888,3467776,40.129
37,21,22,"manual0/fov21@(r4,c2)","manual0/fov22@(r4,c3)",4,2,4,3,1733888,1733888,3467776,43.268
38,21,25,"manual0/fov21@(r4,c2)","manual0/fov25@(r5,c2)",4,2,5,2,1733888,1733888,3467776,40.045
39,22,23,"manual0/fov22@(r4,c3)","manual0/fov23@(r4,c4)",4,3,4,4,1733888,1733888,3467776,39.259
40,22,26,"manual0/fov22@(r4,c3)","manual0/fov26@(r5,c3)",4,3,5,3,1733888,1733888,3467776,41.655
41,24,25,"manual0/fov24@(r5,c1)","manual0/fov25@(r5,c2)",5,1,5,2,1733888,1733888,3467776,39.582
42,25,26,"manual0/fov25@(r5,c2)","manual0/fov26@(r5,c3)",5,2,5,3,1733888,1733888,3467776,39.763
