t_ms,rss_mb,stage
7.0,184.123,(other)
62.2,628.064,Register
121.6,539.722,Register
175.6,555.991,Register
231.7,573.964,Register
287.1,583.303,Register
602.7,717.521,Register
671.0,722.846,Register
733.5,688.292,Register
793.3,700.645,Register
848.6,745.669,Register
909.2,788.480,Register
968.4,750.207,Register
1024.2,772.915,Register
1086.4,778.830,Register
1145.0,678.003,Register
1196.3,801.079,Register
1248.1,903.873,Register
1303.2,945.144,Register
1355.1,962.789,Register
1413.5,962.806,Register
1470.3,962.871,Register
1524.4,962.871,Register
1585.8,962.888,Register
1644.4,963.707,Register
1702.2,968.589,Register
1761.9,968.819,Register
1817.0,972.325,Register
1870.7,975.815,Register
1923.7,989.528,Register
1999.3,989.135,Register
2054.3,1567.162,Fuse
2124.6,1594.769,Fuse
2179.6,1713.832,Fuse
2234.7,1799.602,Fuse
2289.8,1800.290,Fuse
2344.4,1892.794,Fuse
2397.0,1985.102,Fuse
2464.1,1985.102,Fuse
2519.2,1985.102,Fuse
2574.3,1985.102,Fuse
2626.1,2168.881,Fuse
2681.2,2171.093,Fuse
2742.8,2171.093,Fuse
2797.9,2171.093,Fuse
2852.9,2197.766,Fuse
2908.0,2171.453,Fuse
2963.0,2253.718,Fuse
3024.2,2468.954,Fuse
3074.3,2433.008,Fuse
3125.8,2197.471,Fuse
3176.3,2076.934,Fuse
3231.4,2111.603,Fuse
3292.8,2333.409,Fuse
3347.8,1916.551,Fuse
3401.1,2169.242,Fuse
3456.2,1864.319,Fuse
3511.3,2154.725,Fuse
3566.4,2287.206,Fuse
3619.8,2348.663,Fuse
3675.3,2389.557,Fuse
3730.4,2115.437,Fuse
3785.6,1343.701,Fuse
3840.6,1493.516,Fuse
3897.5,1580.024,Fuse
3952.6,1641.595,Fuse
4007.6,1792.197,Fuse
4062.7,1810.940,Fuse
4117.8,1820.967,Fuse
4170.9,2104.803,Fuse
4226.0,2447.557,Fuse
4281.1,1833.386,Fuse
4336.2,1963.409,Fuse
4391.3,1979.892,Fuse
4458.6,1782.694,Fuse
4513.7,1395.425,Fuse
